dwa_id,seniority_group,mean_beta_hat,N_observations
4.A.1.a.1.I01.D01,1,-0.02768572699067467,45
4.A.1.a.1.I01.D01,2,-0.023330278885955652,45
4.A.1.a.1.I01.D01,3,-0.02575329929720413,45
4.A.1.a.1.I01.D01,4,-0.002779537321714471,45
4.A.1.a.1.I01.D01,5,-0.008339791308265489,45
4.A.1.a.1.I01.D04,2,-0.017601499562431455,45
4.A.1.a.1.I01.D04,3,-0.04283012561449414,45
4.A.1.a.1.I01.D04,4,0.007967987620117885,45
4.A.1.a.1.I01.D04,5,-0.03031361940946749,45
4.A.1.a.1.I02.D01,1,-0.010715875411568017,45
4.A.1.a.1.I02.D01,2,0.017999532853624677,45
4.A.1.a.1.I02.D01,3,0.012305143059156136,45
4.A.1.a.1.I02.D01,4,0.0011743101868898036,45
4.A.1.a.1.I02.D01,5,0.036155659798401844,45
4.A.1.a.1.I02.D02,1,0.01410608858048528,45
4.A.1.a.1.I02.D02,2,0.03526283397006651,45
4.A.1.a.1.I02.D02,3,-0.024756572348822274,45
4.A.1.a.1.I02.D04,1,-0.010463125089052774,45
4.A.1.a.1.I02.D04,2,-0.010698417724542213,45
4.A.1.a.1.I02.D05,1,0.001615008379857158,45
4.A.1.a.1.I02.D05,2,0.02125506873231762,45
4.A.1.a.1.I02.D05,3,-0.00790379180335117,45
4.A.1.a.1.I02.D05,4,-0.006415105347182245,45
4.A.1.a.1.I02.D06,1,-0.035477111900801724,45
4.A.1.a.1.I02.D06,2,0.0007983821335393515,45
4.A.1.a.1.I02.D06,3,-0.00440538743608575,45
4.A.1.a.1.I02.D06,4,-0.029776853288503376,45
4.A.1.a.1.I02.D06,5,-0.04648377224412563,45
4.A.1.a.1.I02.D07,1,-0.02457914383624348,45
4.A.1.a.1.I02.D07,2,-0.005891612929754404,45
4.A.1.a.1.I02.D07,3,-0.018840438183238342,45
4.A.1.a.1.I02.D07,4,-0.00859191405982899,45
4.A.1.a.1.I02.D07,5,-0.009072102410485375,45
4.A.1.a.1.I02.D08,1,0.05426464695196162,45
4.A.1.a.1.I02.D08,2,0.009901143392113032,45
4.A.1.a.1.I02.D08,3,0.002990450208229283,45
4.A.1.a.1.I02.D08,4,-0.007371095310222889,45
4.A.1.a.1.I02.D08,5,-0.0033491218232831743,45
4.A.1.a.1.I02.D09,1,-0.02197762614925641,45
4.A.1.a.1.I02.D09,2,-0.0040559886421235826,45
4.A.1.a.1.I02.D09,3,-0.029965654398073853,45
4.A.1.a.1.I02.D09,4,-0.00022345761287930144,45
4.A.1.a.1.I02.D09,5,-0.018196742809812653,45
4.A.1.a.1.I02.D10,1,0.0005840770025015477,45
4.A.1.a.1.I02.D10,2,-0.0063669417319420375,45
4.A.1.a.1.I02.D10,3,-0.002596519419076045,45
4.A.1.a.1.I02.D10,4,-0.026645972302552428,45
4.A.1.a.1.I02.D11,1,-0.004342946368109174,45
4.A.1.a.1.I02.D11,2,0.0035639006196521105,45
4.A.1.a.1.I02.D11,3,0.025425807876315785,45
4.A.1.a.1.I02.D11,4,-0.031425985071615765,45
4.A.1.a.1.I02.D13,1,0.015727812555683274,45
4.A.1.a.1.I02.D13,2,-0.002257132089872664,45
4.A.1.a.1.I02.D14,1,0.010888494752439996,45
4.A.1.a.1.I02.D14,2,0.009158364925428862,45
4.A.1.a.1.I02.D14,3,0.004579070875161128,45
4.A.1.a.1.I02.D14,4,-0.019563698881507163,45
