dwa_id,seniority_group,gamma_hat_Post,E_k_Theory
4.A.1.a.1.I01.D01,1,-0.04706659840804957,0.5
4.A.1.a.1.I01.D01,2,-0.041707152979331856,0.5
4.A.1.a.1.I01.D01,3,-0.0399134606029847,0.5
4.A.1.a.1.I01.D01,4,-0.0038086661027196297,0.5
4.A.1.a.1.I01.D01,5,-0.012046406460210504,0.5
4.A.1.a.1.I01.D04,2,-0.025091859065915385,0.5
4.A.1.a.1.I01.D04,3,-0.06595249379698007,0.5
4.A.1.a.1.I01.D04,4,0.009156407387097545,0.5
4.A.1.a.1.I01.D04,5,-0.048075444052687634,0.5
4.A.1.a.1.I02.D01,1,-0.014266494369867553,0.8
4.A.1.a.1.I02.D01,2,0.03371171960576473,0.8
4.A.1.a.1.I02.D01,3,0.019772081284577858,0.8
4.A.1.a.1.I02.D01,4,0.00015179378656725268,0.8
4.A.1.a.1.I02.D01,5,0.06422324354762307,0.8
4.A.1.a.1.I02.D02,1,0.02659461170128216,0.4166666666666667
4.A.1.a.1.I02.D02,2,0.05526318937081402,0.4166666666666667
4.A.1.a.1.I02.D02,3,-0.045650308119063725,0.4166666666666667
4.A.1.a.1.I02.D04,1,-0.017795229719472137,0.5657894736842105
4.A.1.a.1.I02.D04,2,-0.017091678930905244,0.5657894736842105
4.A.1.a.1.I02.D05,1,0.007220539616339533,0.7307692307692307
4.A.1.a.1.I02.D05,2,0.03776534181515178,0.7307692307692307
4.A.1.a.1.I02.D05,3,-0.010155691896338852,0.7307692307692307
4.A.1.a.1.I02.D05,4,-0.016628156018709227,0.7307692307692307
4.A.1.a.1.I02.D06,1,-0.06031758532389567,0.5652173913043478
4.A.1.a.1.I02.D06,2,0.0023066799759733792,0.5652173913043478
4.A.1.a.1.I02.D06,3,-0.010944988184742238,0.5652173913043478
4.A.1.a.1.I02.D06,4,-0.05148131615170132,0.5652173913043478
4.A.1.a.1.I02.D06,5,-0.08423382205437875,0.5652173913043478
4.A.1.a.1.I02.D07,1,-0.03870659180519447,0.8
4.A.1.a.1.I02.D07,2,-0.011692193890744114,0.8
